MOBILEAREA,性别,年龄,金额
江苏 南京市,男,42.0,4872937
江西 宜春市,女,40.0,4857764
山东 济南市,女,29.0,4831269
河北 邯郸市,女,45.0,4767151
四川 成都市,男,30.0,4753878
广东 茂名市,男,54.0,4716912
北京,男,49.0,4683323
湖南 长沙市,男,40.0,4640620
广东 深圳市,男,63.0,4590382
浙江 金华市,男,32.0,4588032
陕西 西安市,男,45.0,4540272
北京,男,41.0,4519332
上海,女,73.0,4496491
江西 抚州市,男,44.0,4466129
北京,男,34.0,4434775
浙江 宁波市,男,35.0,4414472
北京,女,40.0,4408136
海南 海口市,男,34.0,4403653
山东 济南市,女,33.0,4368787
北京,男,37.0,4322625
北京,男,39.0,4322593
辽宁 大连市,男,42.0,4320125
上海,男,34.0,4268885
四川 绵阳市,男,41.0,4264646
上海,男,50.0,4228295
北京,男,43.0,4225459
陕西 西安市,男,26.0,4200005
上海,女,32.0,4180979
北京,男,59.0,4151455
陕西 西安市,男,24.0,4116987
上海,女,38.0,4113893
江苏 苏州市,女,37.0,4110604
江苏 常州市,男,50.0,4103666
上海,女,59.0,4095037
上海,男,42.0,4069010
上海,女,70.0,4062125
北京,男,42.0,4057202
北京,女,32.0,4037741
北京,女,36.0,4016389
北京,女,40.0,4000023
辽宁 沈阳市,男,33.0,4000004
江西 南昌市,男,51.0,4000003
北京,男,48.0,4000001
北京,女,34.0,3999005
福建 泉州市,男,31.0,3997353
河北 廊坊市,女,45.0,3966515
福建 福州市,女,59.0,3943020
湖北 武汉市,男,36.0,3930001
北京,女,37.0,3920050
广东 广州市,男,46.0,3916326
辽宁 沈阳市,男,34.0,3900001
广东 广州市,男,44.0,3888131
北京,男,44.0,3875652
重庆,男,29.0,3823203
山东 青岛市,女,45.0,3821124
北京,男,44.0,3794778
上海,女,37.0,3793983
江苏 宿迁市,男,47.0,3750872
北京,男,33.0,3737165
安徽 合肥市,男,39.0,3705579
福建 泉州市,男,47.0,3693670
上海,女,33.0,3691038
北京,男,45.0,3602710
广东 广州市,男,28.0,3595691
河南 三门峡市,男,38.0,3573791
浙江 温州市,女,52.0,3569752
上海,男,33.0,3560503
浙江 金华市,男,46.0,3529903
北京,男,40.0,3528877
上海,女,29.0,3523574
北京,女,41.0,3517118
上海,男,45.0,3505833
安徽 合肥市,女,40.0,3501072
广东 深圳市,男,44.0,3500980
上海,男,33.0,3485107
河南 郑州市,女,31.0,3483624
湖南 长沙市,男,40.0,3481161
北京,男,46.0,3479616
辽宁 大连市,女,45.0,3455477
宁夏 银川市,男,32.0,3448715
上海,女,29.0,3409138
辽宁 沈阳市,男,38.0,3391046
北京,女,35.0,3373058
安徽 芜湖市,男,33.0,3369180
安徽 合肥市,男,41.0,3366017
江西 九江市,男,51.0,3362042
辽宁 大连市,男,47.0,3361326
上海,男,40.0,3360010
湖北 武汉市,男,38.0,3350009
湖北 武汉市,女,33.0,3348903
贵州 贵阳市,男,42.0,3330050
上海,男,27.0,3325999
上海,女,37.0,3309781
北京,女,40.0,3270081
上海,女,65.0,3266173
北京,女,34.0,3260299
安徽 合肥市,男,45.0,3260064
广东 广州市,男,39.0,3260001
河南 郑州市,女,44.0,3251178
山东 青岛市,男,39.0,3250000
上海,女,45.0,3220000
上海,男,71.0,3195164
北京,女,29.0,3190002
湖北 武汉市,男,36.0,3177028
河北 石家庄市,男,25.0,3174453
河南 郑州市,男,26.0,3173505
福建 厦门市,女,47.0,3157075
北京,男,42.0,3135544
北京,男,36.0,3132428
上海,女,33.0,3120208
河南 洛阳市,男,40.0,3115799
上海,女,36.0,3114854
河北 唐山市,女,46.0,3081351
重庆,女,40.0,3055000
辽宁 沈阳市,男,45.0,3016691
北京,女,41.0,3010000
广东 东莞市,男,41.0,3000029
广东 广州市,女,33.0,3000020
山东 济南市,女,48.0,2994324
北京,女,39.0,2993328
上海,男,44.0,2985522
上海,男,41.0,2985520
北京,男,70.0,2984262
北京,男,31.0,2973542
安徽 合肥市,男,44.0,2962910
北京,女,42.0,2961979
北京,男,45.0,2954354
广东 深圳市,女,45.0,2951216
江苏 南京市,男,60.0,2950000
黑龙江 哈尔滨市,女,50.0,2930002
北京,男,52.0,2929599
江苏 南京市,男,51.0,2926424
北京,男,35.0,2913402
山东 淄博市,男,48.0,2898431
北京,女,34.0,2891199
广东 东莞市,女,44.0,2860163
北京,男,33.0,2858946
福建 福州市,女,29.0,2856469
上海,男,47.0,2851450
北京,女,39.0,2846715
北京,女,37.0,2842572
重庆,男,36.0,2816651
北京,男,38.0,2813398
辽宁 沈阳市,男,43.0,2809273
江苏 南京市,男,34.0,2800154
北京,女,38.0,2797364
湖南 长沙市,女,38.0,2789207
辽宁 大连市,女,55.0,2780052
湖南 长沙市,男,47.0,2773667
上海,女,37.0,2766666
天津,男,53.0,2765044
天津,男,43.0,2749390
河北 沧州市,男,50.0,2747065
北京,男,37.0,2740572
广东 广州市,男,42.0,2740022
上海,女,35.0,2722291
山东 潍坊市,男,28.0,2720021
江苏 南京市,男,31.0,2719161
广东 广州市,男,36.0,2719081
浙江 温州市,男,35.0,2718293
辽宁 辽阳市,男,45.0,2715839
内蒙古 鄂尔多斯市,男,32.0,2714284
重庆,女,29.0,2706977
上海,女,35.0,2705464
江苏 南京市,女,40.0,2692498
安徽 池州市,女,45.0,2687015
湖北 武汉市,女,44.0,2682000
上海,男,37.0,2667781
上海,女,33.0,2665320
上海,女,39.0,2650185
安徽 池州市,男,48.0,2640254
陕西 渭南市,男,44.0,2622200
上海,男,42.0,2620739
福建 泉州市,男,38.0,2614666
北京,男,42.0,2610759
北京,男,29.0,2610000
北京,男,36.0,2601457
山东 滨州市,男,40.0,2589986
辽宁 大连市,男,40.0,2586547
上海,女,37.0,2585185
北京,男,41.0,2579637
贵州 贵阳市,女,52.0,2579179
上海,男,32.0,2576203
广东 广州市,女,40.0,2560689
北京,男,32.0,2555840
上海,男,27.0,2552068
北京,女,34.0,2551529
上海,女,35.0,2547669
天津,女,33.0,2546264
山东 济南市,男,36.0,2542438
北京,男,37.0,2537308
北京,男,39.0,2531992
天津,男,41.0,2530217
广东 深圳市,男,44.0,2525453
广东 深圳市,男,34.0,2522633
上海,女,34.0,2521001
北京,女,34.0,2520082
福建 泉州市,女,28.0,2520000
北京,男,33.0,2510165
四川 成都市,女,49.0,2500014
北京,男,42.0,2500000
天津,女,46.0,2492724
浙江 杭州市,女,40.0,2484228
安徽 合肥市,女,44.0,2480531
湖北 十堰市,男,40.0,2480180
上海,女,32.0,2471762
北京,女,31.0,2468375
上海,男,26.0,2460000
湖南 长沙市,女,35.0,2458300
北京,女,35.0,2442458
北京,男,40.0,2437017
江苏 苏州市,男,41.0,2431095
江苏 盐城市,男,40.0,2430040
上海,男,42.0,2426001
广东 湛江市,女,28.0,2418973
河南 郑州市,女,34.0,2416826
北京,女,32.0,2411315
辽宁 大连市,男,45.0,2410188
北京,女,36.0,2410001
北京,男,42.0,2409901
北京,男,45.0,2402187
天津,男,53.0,2395888
山西 晋城市,男,32.0,2394350
山西 太原市,男,38.0,2390345
北京,男,42.0,2390215
天津,男,34.0,2390000
北京,男,36.0,2388295
北京,男,39.0,2378573
四川 德阳市,女,41.0,2376781
上海,男,46.0,2360081
浙江 杭州市,男,38.0,2359193
北京,女,37.0,2355952
北京,女,32.0,2352570
福建 福州市,男,36.0,2347468
北京,女,42.0,2341137
上海,男,37.0,2340676
北京,男,39.0,2337242
上海,女,30.0,2332750
江苏 徐州市,男,35.0,2329469
辽宁 大连市,男,25.0,2322673
上海,男,32.0,2319427
江苏 苏州市,男,39.0,2312061
河北 石家庄市,男,30.0,2306894
辽宁 大连市,男,44.0,2304081
福建 福州市,男,36.0,2297760
湖北 武汉市,女,33.0,2295125
湖北 十堰市,女,40.0,2290000
江苏 扬州市,女,45.0,2282623
福建 福州市,男,36.0,2269276
上海,男,42.0,2268613
辽宁 丹东市,女,34.0,2268469
北京,女,34.0,2264909
上海,男,31.0,2252217
湖南 长沙市,男,34.0,2250118
江苏 南京市,男,62.0,2245926
浙江 杭州市,男,40.0,2241714
广东 佛山市,女,46.0,2238090
北京,女,26.0,2229017
辽宁 丹东市,女,26.0,2228328
江西 九江市,男,31.0,2227176
广东 广州市,男,46.0,2220814
上海,男,47.0,2220595
浙江 宁波市,女,35.0,2220084
天津,男,27.0,2220001
辽宁 抚顺市,男,33.0,2214663
浙江 舟山市,女,59.0,2213210
辽宁 大连市,男,45.0,2210005
浙江 绍兴市,男,25.0,2209496
北京,男,32.0,2204133
北京,男,42.0,2203013
山东 济南市,男,37.0,2202960
福建 厦门市,女,42.0,2200019
福建 福州市,男,61.0,2200009
北京,男,27.0,2200002
上海,女,37.0,2200000
山东 济南市,男,34.0,2199902
宁夏 银川市,女,41.0,2199003
北京,男,44.0,2191220
江苏 南京市,女,33.0,2190781
北京,女,36.0,2190424
北京,女,33.0,2188019
江苏 镇江市,男,39.0,2180604
湖北 鄂州市,男,41.0,2171629
上海,男,36.0,2169802
江苏 南京市,男,35.0,2167380
上海,男,37.0,2166398
云南 昆明市,男,27.0,2163629
江苏 苏州市,男,38.0,2162502
北京,女,45.0,2162323
福建 福州市,男,33.0,2161609
北京,男,34.0,2161199
北京,男,34.0,2159324
上海,男,61.0,2158056
北京,女,29.0,2152065
北京,女,37.0,2150739
广东 广州市,男,38.0,2150002
福建 泉州市,女,32.0,2146544
北京,女,31.0,2130736
广东 广州市,女,32.0,2126912
福建 泉州市,男,33.0,2120086
广东 广州市,男,32.0,2118844
广西 南宁市,男,45.0,2114200
福建 厦门市,男,39.0,2113695
陕西 西安市,女,46.0,2110000
北京,男,38.0,2105318
山东 济南市,女,35.0,2101500
广东 广州市,男,44.0,2101149
黑龙江 大庆市,男,52.0,2100037
广东 广州市,女,38.0,2098200
北京,男,33.0,2095060
北京,男,43.0,2090001
湖北 武汉市,男,40.0,2089954
安徽 宣城市,男,63.0,2087929
上海,女,32.0,2083072
山西 太原市,男,43.0,2081433
广东 广州市,女,34.0,2080087
江苏 宿迁市,男,45.0,2080006
河南 郑州市,男,42.0,2077959
北京,女,29.0,2073467
黑龙江 哈尔滨市,女,38.0,2072006
上海,男,36.0,2070911
北京,男,32.0,2070004
上海,女,32.0,2067822
上海,男,38.0,2063084
北京,男,47.0,2060040
上海,女,36.0,2060000
上海,男,29.0,2059518
山西 太原市,男,53.0,2052284
辽宁 大连市,男,33.0,2051370
北京,男,44.0,2050006
山东 淄博市,男,51.0,2050000
山东 烟台市,女,35.0,2045288
黑龙江 哈尔滨市,男,44.0,2045000
北京,男,42.0,2043981
北京,男,47.0,2030064
广东 广州市,男,42.0,2030006
江苏 苏州市,男,33.0,2028493
广东 佛山市,女,53.0,2020089
江苏 扬州市,男,45.0,2020082
海南 海口市,女,46.0,2020081
北京,男,40.0,2020004
广西 南宁市,女,52.0,2016247
福建 福州市,女,32.0,2013786
江苏 淮安市,男,42.0,2011006
北京,女,43.0,2010022
河南 郑州市,女,51.0,2010022
广东 深圳市,男,51.0,2010008
湖北 武汉市,女,51.0,2010000
上海,男,58.0,2009210
河北 秦皇岛市,男,47.0,2006019
广东 广州市,女,28.0,2005891
黑龙江 哈尔滨市,男,34.0,2005359
江苏 南通市,男,41.0,2004715
四川 成都市,男,46.0,2004005
江西 上饶市,女,50.0,2003300
北京,男,43.0,2003002
湖北 十堰市,男,28.0,2002089
陕西 西安市,男,33.0,2002030
江苏 南京市,男,48.0,2002002
北京,男,40.0,2001268
北京,男,42.0,2001017
重庆,女,36.0,2000617
安徽 合肥市,女,44.0,2000157
山东 青岛市,女,28.0,2000140
山东 菏泽市,女,44.0,2000120
北京,男,25.0,2000050
上海,男,33.0,2000032
四川 绵阳市,男,46.0,2000028
广东 广州市,男,30.0,2000027
辽宁 大连市,男,57.0,2000025
重庆,男,54.0,2000024
江苏 连云港市,男,25.0,2000023
北京,男,35.0,2000021
广西 防城港市,男,47.0,2000021
北京,女,73.0,2000020
广东 深圳市,女,38.0,2000018
吉林 长春市,女,48.0,2000017
广东 广州市,男,36.0,2000017
天津,男,50.0,2000016
广东 佛山市,女,33.0,2000016
江苏 泰州市,男,36.0,2000016
北京,女,69.0,2000014
辽宁 丹东市,男,57.0,2000013
辽宁 大连市,男,59.0,2000010
北京,女,46.0,2000009
福建 厦门市,女,44.0,2000008
广东 佛山市,男,46.0,2000007
北京,女,37.0,2000006
湖北 武汉市,男,26.0,2000006
上海,女,33.0,2000006
湖北 武汉市,女,43.0,2000005
北京,男,42.0,2000005
江西 南昌市,女,31.0,2000005
北京,女,37.0,2000004
北京,男,50.0,2000004
四川 成都市,女,36.0,2000004
河南 郑州市,女,58.0,2000003
广东 深圳市,男,48.0,2000003
北京,男,32.0,2000003
北京,男,46.0,2000003
湖北 武汉市,男,52.0,2000003
广东 深圳市,男,48.0,2000003
湖北 武汉市,男,38.0,2000003
江苏 南京市,男,49.0,2000003
上海,女,42.0,2000003
甘肃 兰州市,男,57.0,2000002
甘肃 兰州市,男,55.0,2000002
江苏 南京市,女,39.0,2000002
湖北 武汉市,女,53.0,2000002
上海,女,46.0,2000001
北京,男,50.0,2000001
江西 南昌市,女,43.0,2000001
广东 梅州市,女,34.0,2000001
北京,男,39.0,2000001
北京,男,46.0,2000001
福建 厦门市,男,45.0,2000001
上海,男,53.0,2000001
北京,男,54.0,2000001
湖南 长沙市,男,40.0,2000000
北京,男,68.0,2000000
北京,男,43.0,2000000
广东 广州市,女,38.0,2000000
河南 郑州市,女,43.0,2000000
河南 焦作市,女,40.0,2000000
广东 广州市,男,43.0,2000000
湖北 武汉市,女,44.0,2000000
上海,女,46.0,2000000
云南 昆明市,男,43.0,2000000
湖北 武汉市,女,22.0,2000000
山东 济南市,女,36.0,2000000
重庆,女,38.0,2000000
北京,女,40.0,2000000
山东 潍坊市,女,45.0,2000000
陕西 延安市,男,43.0,2000000
广东 深圳市,女,43.0,2000000
广东 深圳市,女,43.0,2000000
湖北 武汉市,女,67.0,2000000
浙江 温州市,男,24.0,2000000
湖北 武汉市,女,24.0,2000000
江苏 淮安市,男,44.0,2000000
北京,女,64.0,2000000
江苏 南京市,男,47.0,2000000
黑龙江 哈尔滨市,女,49.0,2000000
江苏 南京市,男,50.0,2000000
江苏 南京市,女,50.0,2000000
广东 广州市,男,50.0,2000000
北京,男,50.0,2000000
北京,女,52.0,2000000
湖北 武汉市,女,34.0,2000000
湖北 武汉市,男,53.0,2000000
黑龙江 哈尔滨市,男,54.0,2000000
广东 广州市,女,34.0,2000000
北京,女,55.0,2000000
湖北 武汉市,女,36.0,2000000
广东 广州市,女,33.0,2000000
湖北 武汉市,男,69.0,2000000
云南 昆明市,女,31.0,2000000
湖北 武汉市,男,30.0,2000000
北京,女,61.0,2000000
湖北 武汉市,女,31.0,2000000
北京,男,49.0,2000000
湖北 武汉市,男,28.0,2000000
北京,女,47.0,2000000
广东 广州市,男,48.0,2000000
河南 郑州市,女,48.0,2000000
广东 广州市,女,48.0,2000000
广东 阳江市,男,23.0,1999948
江苏 南京市,女,37.0,1997531
北京,男,38.0,1983519
福建 泉州市,女,30.0,1980153
广东 中山市,男,36.0,1979035
北京,女,32.0,1969712
浙江 宁波市,男,22.0,1969013
北京,女,34.0,1966903
河南 安阳市,男,29.0,1960221
四川 成都市,女,31.0,1960098
上海,男,34.0,1958957
浙江 宁波市,男,32.0,1946569
湖北 武汉市,男,28.0,1942514
山西 长治市,男,37.0,1940081
上海,女,45.0,1937084
安徽 合肥市,男,37.0,1931183
辽宁 大连市,男,42.0,1926388
上海,女,31.0,1923001
北京,女,24.0,1922104
浙江 嘉兴市,男,39.0,1920896
上海,男,42.0,1920675
安徽 池州市,男,45.0,1918636
广东 广州市,男,35.0,1914407
黑龙江 哈尔滨市,男,47.0,1914010
四川 成都市,男,41.0,1910001
北京,女,43.0,1910000
青海 西宁市,男,31.0,1908435
江苏 南京市,女,35.0,1907281
四川 成都市,男,42.0,1902428
上海,女,44.0,1896242
上海,女,37.0,1894725
广东 深圳市,女,26.0,1890155
广东 深圳市,男,35.0,1885896
山东 青岛市,男,40.0,1879526
北京,男,39.0,1878058
广东 深圳市,女,42.0,1874370
江苏 南京市,女,29.0,1874293
上海,男,53.0,1872993
上海,女,33.0,1872779
湖北 武汉市,女,53.0,1872293
上海,女,37.0,1871090
广西 桂林市,男,57.0,1868831
广东 广州市,男,42.0,1860198
安徽 合肥市,女,52.0,1858478
北京,女,35.0,1854390
上海,男,43.0,1850001
北京,女,27.0,1848525
天津,女,48.0,1842332
山东 青岛市,女,30.0,1838811
陕西 西安市,女,64.0,1834104
广东 广州市,男,24.0,1833489
辽宁 沈阳市,男,34.0,1832121
山东 济南市,男,34.0,1831893
北京,男,46.0,1829421
山东 济南市,男,30.0,1816843
上海,男,43.0,1816092
上海,男,37.0,1815425
上海,女,39.0,1807705
广东 广州市,男,42.0,1806029
上海,女,37.0,1804540
山东 青岛市,男,35.0,1803784
广东 深圳市,男,41.0,1802893
湖南 长沙市,男,36.0,1801647
广东 广州市,男,42.0,1800104
福建 福州市,女,39.0,1800011
浙江 绍兴市,男,48.0,1800001
福建 福州市,男,40.0,1792214
上海,男,38.0,1789000
上海,男,30.0,1783227
广东 东莞市,男,39.0,1782852
辽宁 大连市,女,39.0,1781006
上海,女,33.0,1780056
上海,女,33.0,1780001
辽宁 大连市,男,44.0,1777143
广东 茂名市,男,53.0,1777103
江苏 南京市,女,38.0,1777001
上海,男,33.0,1774283
江苏 苏州市,男,30.0,1771536
北京,男,42.0,1763862
四川 成都市,男,28.0,1758334
黑龙江 哈尔滨市,男,44.0,1754972
江苏 南京市,男,36.0,1752674
北京,男,43.0,1752387
广东 广州市,男,39.0,1751806
湖北 武汉市,女,41.0,1750001
北京,男,38.0,1748930
北京,男,34.0,1748868
上海,男,41.0,1742425
广东 广州市,女,38.0,1740390
河北 石家庄市,男,35.0,1736073
上海,男,37.0,1735306
山东 青岛市,男,37.0,1734541
湖南 永州市,女,26.0,1733073
上海,女,66.0,1730170
河北 石家庄市,女,53.0,1730081
北京,男,38.0,1730005
北京,男,33.0,1729271
北京,男,35.0,1728893
福建 莆田市,男,34.0,1727744
重庆,女,69.0,1727581
江苏 无锡市,男,36.0,1723003
北京,男,39.0,1722678
河南 洛阳市,男,30.0,1720081
福建 漳州市,女,29.0,1719018
北京,男,32.0,1718917
江苏 南京市,女,30.0,1717225
宁夏 银川市,男,39.0,1717013
青海 西宁市,女,49.0,1716052
上海,女,38.0,1715685
北京,男,37.0,1712022
上海,男,37.0,1710070
福建 漳州市,女,40.0,1710017
北京,女,30.0,1709255
天津,男,18.0,1707422
吉林 长春市,男,34.0,1703530
北京,男,36.0,1701003
山东 青岛市,男,51.0,1700038
北京,男,31.0,1698081
福建 莆田市,男,35.0,1695011
上海,男,31.0,1693492
甘肃 兰州市,女,40.0,1693134
上海,男,29.0,1692886
江苏 无锡市,男,34.0,1689005
浙江 杭州市,男,42.0,1688009
重庆,男,43.0,1687963
上海,男,37.0,1686833
辽宁 大连市,男,40.0,1685616
广东 深圳市,男,33.0,1683300
上海,男,30.0,1680070
北京,男,37.0,1676313
四川 成都市,男,44.0,1676125
安徽 合肥市,女,35.0,1671822
河北 张家口市,男,35.0,1669512
江苏 徐州市,男,36.0,1666270
四川 绵阳市,女,41.0,1665227
上海,女,34.0,1661848
辽宁 沈阳市,男,35.0,1660516
北京,男,52.0,1659948
上海,女,68.0,1658850
江苏 苏州市,女,36.0,1658764
四川 成都市,女,36.0,1657000
上海,女,33.0,1655970
湖南 常德市,男,45.0,1655927
四川 泸州市,男,54.0,1655083
福建 三明市,女,70.0,1651682
上海,男,34.0,1650326
湖北 武汉市,女,32.0,1648402
北京,男,28.0,1643657
天津,男,42.0,1640002
江苏 南京市,男,50.0,1640000
山东 青岛市,男,36.0,1639736
江苏 南京市,女,54.0,1637654
湖北 武汉市,男,57.0,1637606
山东 济南市,男,33.0,1637508
陕西 渭南市,男,37.0,1636495
山东 淄博市,男,32.0,1634562
云南 昆明市,男,28.0,1634078
吉林 长春市,女,36.0,1632529
江苏 常州市,男,36.0,1631548
湖北 武汉市,女,47.0,1625091
北京,男,44.0,1625000
北京,女,28.0,1624540
北京,男,41.0,1622463
山东 潍坊市,男,42.0,1622110
辽宁 大连市,女,27.0,1622059
北京,男,37.0,1620427
山东 青岛市,女,33.0,1620303
上海,女,31.0,1615081
广东 广州市,女,40.0,1615078
上海,男,35.0,1614087
上海,男,32.0,1613444
四川 绵阳市,男,47.0,1612574
北京,男,37.0,1612574
北京,男,44.0,1610004
上海,女,52.0,1607711
上海,女,40.0,1601101
江苏 南京市,男,29.0,1600101
河南 濮阳市,女,41.0,1600002
陕西 延安市,女,42.0,1600000
广东 广州市,女,39.0,1600000
广东 佛山市,男,36.0,1600000
上海,女,34.0,1599749
黑龙江 哈尔滨市,男,44.0,1599145
上海,女,24.0,1598925
河南 郑州市,男,36.0,1593841
浙江 绍兴市,女,49.0,1593820
广东 广州市,男,44.0,1592514
北京,女,36.0,1591224
江苏 南京市,女,36.0,1590701
四川 成都市,女,31.0,1587540
广东 深圳市,男,24.0,1586589
北京,男,44.0,1578565
四川 成都市,女,39.0,1576023
上海,男,66.0,1574773
内蒙古 赤峰市,男,34.0,1570867
广东 深圳市,男,34.0,1570331
上海,女,33.0,1570261
上海,女,33.0,1565626
安徽 合肥市,男,30.0,1565415
山西 太原市,男,46.0,1565317
上海,男,44.0,1564525
上海,女,37.0,1563537
贵州 黔南,男,40.0,1561021
上海,男,29.0,1560131
天津,女,29.0,1558906
山东 济南市,男,33.0,1558895
北京,女,35.0,1557264
山东 烟台市,女,34.0,1552451
广东 深圳市,男,37.0,1546475
北京,女,32.0,1544538
上海,女,63.0,1544321
北京,男,47.0,1542166
广西 柳州市,男,42.0,1541815
安徽 合肥市,女,30.0,1540081
北京,女,37.0,1540000
江苏 南京市,男,31.0,1539413
湖南 岳阳市,女,47.0,1538773
江西 南昌市,男,47.0,1537400
山东 济宁市,女,51.0,1535417
北京,男,32.0,1532255
天津,女,31.0,1531774
河北 廊坊市,女,39.0,1530681
浙江 宁波市,男,41.0,1530144
江苏 苏州市,男,34.0,1530001
江苏 扬州市,男,58.0,1529028
上海,女,27.0,1528659
黑龙江 哈尔滨市,男,45.0,1527906
山东 青岛市,男,45.0,1520823
上海,男,35.0,1520518
福建 福州市,男,45.0,1520082
福建 厦门市,男,35.0,1520010
广东 佛山市,男,43.0,1519822
河南 郑州市,女,38.0,1519001
江苏 南京市,女,41.0,1518081
四川 成都市,男,45.0,1516899
内蒙古 包头市,男,33.0,1515901
陕西 西安市,男,35.0,1515471
安徽 合肥市,女,51.0,1512853
北京,女,42.0,1511002
重庆,男,34.0,1510172
江苏 南京市,女,45.0,1510009
北京,女,41.0,1510000
江苏 苏州市,男,46.0,1508549
福建 福州市,男,35.0,1507286
北京,女,51.0,1504220
江西 南昌市,男,34.0,1503683
广东 广州市,女,35.0,1503474
北京,女,52.0,1503081
上海,男,29.0,1503005
重庆,男,58.0,1500015
安徽 合肥市,女,59.0,1500006
河南 郑州市,女,61.0,1500004
北京,男,29.0,1500001
江苏 泰州市,女,38.0,1497914
辽宁 大连市,女,59.0,1497896
山东 济宁市,女,37.0,1497644
北京,女,34.0,1497164
北京,女,33.0,1493915
浙江 杭州市,男,40.0,1490825
河南 安阳市,男,39.0,1490530
河南 焦作市,男,41.0,1490497
北京,男,44.0,1490003
江苏 苏州市,男,39.0,1488038
上海,女,44.0,1485563
广东 广州市,男,26.0,1481958
北京,女,33.0,1481625
江苏 南京市,女,24.0,1481035
广东 深圳市,男,37.0,1480180
湖北 武汉市,男,43.0,1479133
河南 郑州市,女,27.0,1477670
北京,男,45.0,1477123
北京,男,40.0,1476899
北京,男,28.0,1474681
北京,男,40.0,1473443
重庆,女,43.0,1471395
广东 广州市,女,36.0,1468700
广东 中山市,男,33.0,1467431
上海,女,34.0,1462573
安徽 合肥市,女,34.0,1460679
上海,男,33.0,1460623
广东 深圳市,男,34.0,1460080
黑龙江 哈尔滨市,男,43.0,1458370
辽宁 大连市,男,32.0,1457158
上海,女,33.0,1456890
山东 济南市,女,49.0,1455407
浙江 宁波市,男,41.0,1453702
上海,男,36.0,1453478
浙江 杭州市,男,39.0,1452010
辽宁 大连市,男,33.0,1448812
重庆,男,33.0,1446800
北京,女,39.0,1441230
四川 成都市,女,27.0,1440313
北京,男,41.0,1440001
陕西 西安市,男,41.0,1439679
北京,女,28.0,1438653
江西 南昌市,男,32.0,1437000
江苏 南京市,男,25.0,1431003
福建 福州市,男,27.0,1428685
河南 郑州市,男,30.0,1424896
上海,男,55.0,1424539
上海,女,30.0,1421671
广东 江门市,男,50.0,1421647
上海,男,41.0,1420198
江苏 南京市,女,41.0,1419811
上海,女,36.0,1418638
上海,男,35.0,1416813
北京,男,43.0,1415753
浙江 宁波市,男,32.0,1415410
广东 珠海市,男,29.0,1413483
江苏 南京市,男,35.0,1412976
江苏 南京市,男,42.0,1410102
辽宁 沈阳市,男,44.0,1410081
北京,男,41.0,1409670
四川 成都市,男,32.0,1408109
江苏 苏州市,男,38.0,1406363
辽宁 大连市,女,41.0,1405331
广东 广州市,男,39.0,1403656
上海,男,40.0,1401000
广东 广州市,男,45.0,1400873
河南 郑州市,女,38.0,1400065
黑龙江 齐齐哈尔市,男,35.0,1400026
江苏 苏州市,男,38.0,1400011
江苏 苏州市,男,40.0,1400004
上海,男,37.0,1400000
黑龙江 鸡西市,女,34.0,1400000
北京,女,42.0,1400000
广东 广州市,男,47.0,1399910
辽宁 本溪市,男,37.0,1399881
